vessel_name,imo_number,trajectory_sequence_json,current_port,current_status
Tenna Kosan,IMO9962931,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-09-12"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-09-29"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2020-10-08"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-10-25"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-07-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-12-09"", ""lat"": 29.74, ""lon"": -95.27}]",Houston,Underway
Tenryu,IMO9827358,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2019-10-19"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-05-18"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2020-06-04"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-11-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-12-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-05-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-01-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-06-28"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-02-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-08-31"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Tenyo,IMO9222443,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-05-17"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Teri F,IMO9030840,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2010-01-01"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2010-01-18"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Underway
Tessa Kosan,IMO9513043,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-10-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-12-01"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Texas,IMO9623685,"[{""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2019-08-05"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-12-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-01-05"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2021-07-20"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-07-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-12-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2022-01-08"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-05-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2023-07-19"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2023-08-05"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-06-25"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2025-12-03"", ""lat"": 29.07, ""lon"": 48.15}]",Mina Al Ahmadi,Operating at berth
Texas O/O,IMO9704788,"[{""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2025-10-02"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-01-26"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Waiting at anchor
Thalatta,IMO9702455,"[{""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2025-04-23"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2025-09-10"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-09-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2025-10-07"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-01-15"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-06-11"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Waiting at anchor
Thekla Schulte,IMO9860254,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-05-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2019-06-16"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-07-03"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-11-18"", ""lat"": 29.74, ""lon"": -95.27}]",Houston,Underway
Theresa Schulte ,IMO9675699,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-28"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2019-12-15"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2020-10-22"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-11-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-11-25"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Underway
Thetis Glory,IMO9689063,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-10-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2020-03-19"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2020-05-21"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-09-10"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-11-11"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Thresher,IMO9747343,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-19"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Operating at berth
Ti Hellas,IMO9290086,"[{""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-12-05"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-07-14"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2020-07-31"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2021-04-12"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-06-15"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-08-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-09-10"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2021-09-27"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-12-31"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2022-01-31"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2022-02-17"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-02-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2022-03-10"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-05-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2022-05-22"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-05-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2022-06-16"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-12-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2022-12-24"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2023-01-04"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-03-06"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2023-03-23"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2023-04-09"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2023-06-28"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2023-07-15"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-09-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2023-10-08"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-11-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2023-12-08"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2024-01-02"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2024-01-19"", ""lat"": 22.43, ""lon"": 69.84}]",Sikka / Jamnagar,Operating at berth
Ti tbn,IMO9265384,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-10-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-11-04"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-06-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-07-05"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-10-27"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Tianlong Spirit,IMO9378369,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-01-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-02-12"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-05-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2018-05-25"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""ZASDB"", ""name"": ""Saldanha Bay"", ""date"": ""2019-10-20"", ""lat"": -33.02, ""lon"": 17.95}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2019-11-06"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2021-11-18"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2022-03-17"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2023-04-17"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-05-24"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2023-06-10"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-03-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-02-25"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-08-18"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Operating at berth
Tilos 1,IMO9800271,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-07-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2018-07-20"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-11-26"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2019-02-26"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2019-08-01"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-03-04"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2020-03-21"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-04-07"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-04-24"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2021-07-14"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2021-07-31"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2021-08-17"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2023-03-23"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2025-04-03"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2026-06-15"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2026-07-02"", ""lat"": 22.43, ""lon"": 69.84}]",Sikka / Jamnagar,Waiting at anchor
Toba,IMO9304655,"[{""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2020-11-16"", ""lat"": 24.09, ""lon"": 38.06}]",Yanbu,Underway
Tohshi,IMO9799891,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-07"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Tokio,IMO9311270,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-04-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2019-05-23"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-07-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-04-30"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2021-02-03"", ""lat"": 24.09, ""lon"": 38.06}]",Yanbu,Underway
Tokyo Spirit,IMO9296377,"[{""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2018-08-28"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-09-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2021-03-01"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2021-03-18"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-10-14"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-10-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-02-21"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-03-15"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-05-01"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-07-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-09-24"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Tonegawa,IMO9802188,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-01"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-25"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2020-07-14"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2020-07-31"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-03-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-03-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2022-04-02"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-06-29"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-08-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-20"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-10-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-11-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-01-03"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-02-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-10-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-02-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-07-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-09-04"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2025-12-12"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""JPCHB"", ""name"": ""Chiba"", ""date"": ""2025-12-29"", ""lat"": 35.6, ""lon"": 140.1}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-02-13"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-02-16"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Operating at berth
Tonos O/O,IMO9228655,"[{""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-02-06"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-02-08"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-02-23"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-02-25"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2018-03-14"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2019-09-05"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2019-11-21"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2019-12-08"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-09-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-10-13"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Tony,IMO9432036,"[{""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2018-02-09"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2018-10-15"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2018-11-01"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-06-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2019-07-06"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-05-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2020-05-19"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-08-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-08-28"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-09-14"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2020-10-01"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-10-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""KWMFA"", ""name"": ""Mina Al Ahmadi"", ""date"": ""2024-11-25"", ""lat"": 29.07, ""lon"": 48.15}, {""port"": ""INPRT"", ""name"": ""Paradip / Vizag"", ""date"": ""2024-12-12"", ""lat"": 20.26, ""lon"": 86.67}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2025-08-12"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-09-03"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Operating at berth
